Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
6.08454	0	0	94	FullDelay	1.40188	1.40188e+06	2	1
6.09299	0	0	96	LastDelay	0.000761144	761.144	1	1
6.09299	0	0	96	FullDelay	1.40624	1.40624e+06	2	1
6.10107	0	0	173	LastDelay	0.000734144	734.144	1	1
6.10107	0	0	173	FullDelay	0.000734144	734.144	1	1
6.1072	0	0	176	LastDelay	0.000743144	743.144	1	1
6.1072	0	0	176	FullDelay	0.000743144	743.144	1	1
6.11122	0	0	178	LastDelay	0.000752144	752.144	1	1
6.11122	0	0	178	FullDelay	0.000752144	752.144	1	1
6.12116	0	0	183	LastDelay	0.000761144	761.144	1	1
6.12116	0	0	183	FullDelay	0.000761144	761.144	1	1
6.12717	0	0	186	LastDelay	0.000761144	761.144	1	1
6.12717	0	0	186	FullDelay	0.000761144	761.144	1	1
6.13107	0	0	188	LastDelay	0.000743144	743.144	1	1
6.13107	0	0	188	FullDelay	0.000743144	743.144	1	1
6.13889	0	0	192	LastDelay	0.000752144	752.144	1	1
6.13889	0	0	192	FullDelay	0.000752144	752.144	1	1
6.19103	0	0	202	LastDelay	0.000761144	761.144	1	1
6.19103	0	0	202	FullDelay	0.000761144	761.144	1	1
6.20462	0	0	5	LastDelay	0.000743144	743.144	1	1
6.20462	0	0	5	FullDelay	4.67128	4.67128e+06	7	1
6.20856	0	0	8	LastDelay	0.000734144	734.144	1	1
6.20856	0	0	8	FullDelay	4.64105	4.64105e+06	5	1
6.23618	0	0	214	LastDelay	0.000743144	743.144	1	1
6.23618	0	0	214	FullDelay	0.000743144	743.144	1	1
6.24405	0	0	216	LastDelay	0.000689144	689.144	1	1
6.24405	0	0	216	FullDelay	0.000689144	689.144	1	1
6.25228	0	0	218	LastDelay	0.000761144	761.144	1	1
6.25228	0	0	218	FullDelay	0.000761144	761.144	1	1
6.26012	0	0	220	LastDelay	0.000689144	689.144	1	1
6.26012	0	0	220	FullDelay	0.000689144	689.144	1	1
6.26441	0	0	221	LastDelay	0.000743144	743.144	1	1
6.26441	0	0	221	FullDelay	0.000743144	743.144	1	1
6.2722	0	0	155	LastDelay	0.000689144	689.144	1	1
6.2722	0	0	155	FullDelay	1.09581	1.09581e+06	2	1
6.28024	0	0	226	LastDelay	0.000752144	752.144	1	1
6.28024	0	0	226	FullDelay	0.000752144	752.144	1	1
6.29011	0	0	159	LastDelay	0.000725144	725.144	1	1
6.29011	0	0	159	FullDelay	1.09735	1.09735e+06	2	1
6.30427	0	0	230	LastDelay	0.000761144	761.144	1	1
6.30427	0	0	230	FullDelay	0.000761144	761.144	1	1
6.37268	0	0	42	LastDelay	0.000743144	743.144	1	1
6.37268	0	0	42	FullDelay	3.03785	3.03785e+06	3	1
6.38259	0	0	45	LastDelay	0.000743144	743.144	1	1
6.38259	0	0	45	FullDelay	3.03622	3.03622e+06	3	1
6.38458	0	0	102	LastDelay	0.000752144	752.144	1	1
6.38458	0	0	102	FullDelay	1.67771	1.67771e+06	2	1
6.43865	0	0	30	LastDelay	0.000761144	761.144	1	1
6.43865	0	0	30	FullDelay	3.97457	3.97457e+06	4	1
6.45044	0	0	252	LastDelay	0.000725144	725.144	1	1
6.45044	0	0	252	FullDelay	0.000725144	725.144	1	1
6.45657	0	0	255	LastDelay	0.000761144	761.144	1	1
6.45657	0	0	255	FullDelay	0.000761144	761.144	1	1
6.45857	0	0	256	LastDelay	0.000698144	698.144	1	1
6.45857	0	0	256	FullDelay	0.000698144	698.144	1	1
6.47695	0	0	17	LastDelay	0.000761144	761.144	1	1
6.47695	0	0	17	FullDelay	4.88526	4.88526e+06	5	1
6.50863	0	0	144	LastDelay	0.000761144	761.144	1	1
6.50863	0	0	144	FullDelay	1.37429	1.37429e+06	2	1
6.54437	0	0	115	LastDelay	0.000743144	743.144	1	1
6.54437	0	0	115	FullDelay	1.56469	1.56469e+06	2	1
6.55653	0	0	118	LastDelay	0.000716144	716.144	1	1
6.55653	0	0	118	FullDelay	1.57096	1.57096e+06	2	1
6.56876	0	0	119	LastDelay	0.000716144	716.144	1	1
6.56876	0	0	119	FullDelay	1.58116	1.58116e+06	2	1
6.59273	0	0	270	LastDelay	0.000752144	752.144	1	1
6.59273	0	0	270	FullDelay	0.000752144	752.144	1	1
6.61271	0	0	275	LastDelay	0.000743144	743.144	1	1
6.61271	0	0	275	FullDelay	0.000743144	743.144	1	1
6.63682	0	0	277	LastDelay	0.000761144	761.144	1	1
6.63682	0	0	277	FullDelay	0.000761144	761.144	1	1
6.65245	0	0	280	LastDelay	0.000761144	761.144	1	1
6.65245	0	0	280	FullDelay	0.000761144	761.144	1	1
6.72639	0	0	296	LastDelay	0.000752144	752.144	1	1
6.72639	0	0	296	FullDelay	0.000752144	752.144	1	1
6.75007	0	0	123	LastDelay	0.000716144	716.144	1	1
6.75007	0	0	123	FullDelay	1.69586	1.69586e+06	2	1
6.76003	0	0	125	LastDelay	0.000716144	716.144	1	1
6.76003	0	0	125	FullDelay	1.70196	1.70196e+06	2	1
6.79022	0	0	168	LastDelay	0.000752144	752.144	1	1
6.79022	0	0	168	FullDelay	1.53783	1.53783e+06	2	1
6.79818	0	0	171	LastDelay	0.000734144	734.144	1	1
6.79818	0	0	171	FullDelay	1.53371	1.53371e+06	2	1
6.80409	0	0	298	LastDelay	0.000698144	698.144	1	1
6.80409	0	0	298	FullDelay	0.000698144	698.144	1	1
6.80999	0	0	77	LastDelay	0.000689144	689.144	1	1
6.80999	0	0	77	FullDelay	3.06923	3.06923e+06	3	1
6.83	0	0	81	LastDelay	0.000752144	752.144	1	1
6.83	0	0	81	FullDelay	3.08135	3.08135e+06	3	1
6.86	0	0	310	LastDelay	0.000725144	725.144	1	1
6.86	0	0	310	FullDelay	0.000725144	725.144	1	1
6.8721	0	0	316	LastDelay	0.000761144	761.144	1	1
6.8721	0	0	316	FullDelay	0.000761144	761.144	1	1
6.90238	0	0	195	LastDelay	0.000725144	725.144	1	1
6.90238	0	0	195	FullDelay	0.758145	758145	2	1
6.93421	0	0	85	LastDelay	0.000725144	725.144	1	1
6.93421	0	0	85	FullDelay	2.26915	2.26915e+06	3	1
6.94	0	0	196	LastDelay	0.000761144	761.144	1	1
6.94	0	0	196	FullDelay	0.793736	793736	2	1
6.95172	0	0	322	LastDelay	0.000761144	761.144	1	1
6.95172	0	0	322	FullDelay	0.000761144	761.144	1	1
6.96164	0	0	327	LastDelay	0.000752144	752.144	1	1
6.96164	0	0	327	FullDelay	0.000752144	752.144	1	1
6.96572	0	0	329	LastDelay	0.000761144	761.144	1	1
6.96572	0	0	329	FullDelay	0.000761144	761.144	1	1
6.9754	0	0	191	LastDelay	0.000716144	716.144	1	1
6.9754	0	0	191	FullDelay	0.839203	839203	2	1
7.0064	0	0	337	LastDelay	0.000761144	761.144	1	1
7.0064	0	0	337	FullDelay	0.000761144	761.144	1	1
7.01031	0	0	338	LastDelay	0.000752144	752.144	1	1
7.01031	0	0	338	FullDelay	0.000752144	752.144	1	1
7.0643	0	0	187	LastDelay	0.000734144	734.144	1	1
7.0643	0	0	187	FullDelay	0.935944	935944	2	1
7.2011	0	0	357	LastDelay	0.000752144	752.144	1	1
7.2011	0	0	357	FullDelay	0.000752144	752.144	1	1
7.20906	0	0	359	LastDelay	0.000752144	752.144	1	1
7.20906	0	0	359	FullDelay	0.000752144	752.144	1	1
7.39206	0	0	200	LastDelay	0.000707144	707.144	1	1
7.39206	0	0	200	FullDelay	1.20965	1.20965e+06	2	1
7.39996	0	0	204	LastDelay	0.000743144	743.144	1	1
7.39996	0	0	204	FullDelay	1.20378	1.20378e+06	2	1
7.40195	0	0	205	LastDelay	0.000761144	761.144	1	1
7.40195	0	0	205	FullDelay	1.20389	1.20389e+06	2	1
7.41392	0	0	154	LastDelay	0.000707144	707.144	1	1
7.41392	0	0	154	FullDelay	2.25943	2.25943e+06	3	1
7.56494	0	0	377	LastDelay	0.000752144	752.144	1	1
7.56494	0	0	377	FullDelay	0.000752144	752.144	1	1
7.57266	0	0	380	LastDelay	0.000725144	725.144	1	1
7.57266	0	0	380	FullDelay	0.000725144	725.144	1	1
7.57477	0	0	217	LastDelay	0.000752144	752.144	1	1
7.57477	0	0	217	FullDelay	1.32727	1.32727e+06	2	1
7.58055	0	0	383	LastDelay	0.000743144	743.144	1	1
7.58055	0	0	383	FullDelay	0.000743144	743.144	1	1
7.70113	0	0	212	LastDelay	0.000734144	734.144	1	1
7.70113	0	0	212	FullDelay	1.47388	1.47388e+06	2	1
7.72171	0	0	95	LastDelay	0.000761144	761.144	1	1
7.72171	0	0	95	FullDelay	3.03698	3.03698e+06	3	1
7.84225	0	0	233	LastDelay	0.000725144	725.144	1	1
7.84225	0	0	233	FullDelay	1.53086	1.53086e+06	2	1
7.84645	0	0	234	LastDelay	0.000707144	707.144	1	1
7.84645	0	0	234	FullDelay	1.53313	1.53313e+06	2	1
7.8667	0	0	239	LastDelay	0.000752144	752.144	1	1
7.8667	0	0	239	FullDelay	1.54336	1.54336e+06	2	1
7.8707	0	0	240	LastDelay	0.000743144	743.144	1	1
7.8707	0	0	240	FullDelay	1.54529	1.54529e+06	2	1
7.87266	0	0	241	LastDelay	0.000752144	752.144	1	1
7.87266	0	0	241	FullDelay	1.54514	1.54514e+06	2	1
