Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
6.91682	0	0	159	FullDelay	0.000761144	761.144	1	1
6.92771	0	0	160	LastDelay	0.000761144	761.144	1	1
6.92771	0	0	160	FullDelay	0.000761144	761.144	1	1
6.94413	0	0	163	LastDelay	0.000734144	734.144	1	1
6.94413	0	0	163	FullDelay	0.000734144	734.144	1	1
6.96063	0	0	166	LastDelay	0.000743144	743.144	1	1
6.96063	0	0	166	FullDelay	0.000743144	743.144	1	1
6.97185	0	0	168	LastDelay	0.000752144	752.144	1	1
6.97185	0	0	168	FullDelay	0.000752144	752.144	1	1
7.01015	0	0	42	LastDelay	0.000761144	761.144	1	1
7.01015	0	0	42	FullDelay	3.15927	3.15927e+06	3	1
7.03207	0	0	96	LastDelay	0.000761144	761.144	1	1
7.03207	0	0	96	FullDelay	1.76474	1.76474e+06	2	1
7.04849	0	0	45	LastDelay	0.000743144	743.144	1	1
7.04849	0	0	45	FullDelay	3.1537	3.1537e+06	3	1
7.09257	0	0	49	LastDelay	0.000752144	752.144	1	1
7.09257	0	0	49	FullDelay	3.15369	3.15369e+06	3	1
7.25818	0	0	16	LastDelay	0.000761144	761.144	1	1
7.25818	0	0	16	FullDelay	5.41464	5.41464e+06	5	1
7.32448	0	0	29	LastDelay	0.000743144	743.144	1	1
7.32448	0	0	29	FullDelay	4.44693	4.44693e+06	4	1
7.34694	0	0	63	LastDelay	0.000734144	734.144	1	1
7.34694	0	0	63	FullDelay	3.2331	3.2331e+06	3	1
7.43534	0	0	124	LastDelay	0.000743144	743.144	1	1
7.43534	0	0	124	FullDelay	1.44436	1.44436e+06	2	1
7.45207	0	0	126	LastDelay	0.000689144	689.144	1	1
7.45207	0	0	126	FullDelay	1.45	1.45e+06	2	1
7.46311	0	0	130	LastDelay	0.000761144	761.144	1	1
7.46311	0	0	130	FullDelay	1.43884	1.43884e+06	2	1
7.47406	0	0	121	LastDelay	0.000689144	689.144	1	1
